Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
CEREALS RTE/RALSTON CRISPY RICE,1.0,7.65,32.73,0.0
CANDIES/MILK CHOC COATD RAISINS,3.0,62.22,1.71,3.0
SNACKS/GRANOLA BARS/SOFT/ALMOND/CONFECTIONERS COATING,2.0,34.0,1.49,0.0
PUDDINGS/COCNT CRM/DRY MIX/REG,3.0,80.54,0.57,0.0
SNACKS/GRANOLA BAR/FRUIT-FILLED/NONFAT,2.0,55.34,4.0,0.0
CEREALS RTE/KELLOGG/KELLOGG'S SPL K/CINN PECAN,1.0,24.0,27.0,0.0
CEREALS/QUAKER/INST OATMEAL/CINN SPICE/RED SUGAR,1.0,11.91,12.0,0.0
SNACKS/PRETZELS/HARD/PLN/MADE W/ ENR FLR/UNSALTED,2.0,2.21,4.32,0.0
CEREALS RTE/GRANOLA/HOMEMADE,1.0,20.0,4.23,0.0
CEREALS RTE/POST/HONEY BUNCHES OF OATS/W/ ALMONDS,1.0,20.0,33.8,0.0
CEREALS/QUAKER/QUICK OATS W/ IRON/DRY,1.0,1.42,49.45,0.0
CEREALS RTE/GENERAL MILLS/HONEY NUT CLUSTERS,1.0,24.8,7.9,0.0
CEREALS RTE/KELLOGG'S SPL K MULTIGRAIN OATS & HONEY,1.0,26.4,27.9,0.0
CANDIES/BUTTERSCOTCH,3.0,80.46,0.01,9.0
CANDIES/SPL DK CHOC BAR,3.0,47.56,2.13,5.0
CANDIES/CONFECTIONER'S COATING/PNUT BUTTER,3.0,38.3,1.7,1.0
CEREALS RTE/KELLOGG/KELLOGG'S RICE KRISPIES,1.0,9.87,30.42,0.0
ICE CREAMS/BREYERS/ALL NAT LT FRENCH VANILLA,3.0,21.11,0.21,53.0
CEREALS RTE/KELLOGG'S FRSTD MINI-WHEATS LITTLE BITES/CHOC,1.0,22.3,28.9,0.0
CEREALS/CORN GRITS/WHITE/REG & QUICK/ENR/CKD W/ H2O/W/ SALT,1.0,0.12,0.57,0.0
CEREALS RTE/KASHI/ORGANIC PROMISE AUTUMN WHEAT,1.0,12.4,3.1,0.0
ICE CREAMS/BREYERS/NO SUGAR ADDED/VANILLA,3.0,6.09,0.09,18.0
PUDDINGS/BANANA/DRY MIX/REG,3.0,74.32,0.05,0.0
Candies/ NESTLE/ BUTTERFINGER Crisp,3.0,48.33,0.6,0.0
PUDDINGS/VANILLA/DRY MIX/INST,3.0,92.9,0.01,0.0
CEREALS RTE/GENERAL MILLS/GOLDEN GRAHAMS,1.0,35.0,14.5,0.0
CEREALS RTE/QUAKER/QUAKER PUFFED RICE,1.0,0.0,2.86,0.0
ICE CREAMS/BREYERS/NO SUGAR ADDED/CHOC CARAMEL,3.0,5.81,0.59,16.0
PUDDINGS/CHOC/DRY MIX/REG/PREP W/ 2% MILK,3.0,11.85,0.34,7.0
CANDIES/FUDGE/CHOC MARSHMLLW/PREPARED-FROM-RECIPE,3.0,64.06,0.96,25.0
FORM BAR/MARS SNACK US/SNICKERS MARATHON DOUBLE CHOC NUT BAR,2.0,22.67,17.95,4.0
CEREALS RTE/GENERAL MILLS/BASIC 4,1.0,22.6,8.2,0.0
CANDIES/GUMDROPS/STARCH JELLY PIECES,3.0,58.97,0.4,0.0
Tortilla chips/ yellow/ plain/ salted,2.0,1.21,1.32,0.0
CEREALS RTE/GENERAL MILLS/CHEERIOS,1.0,4.36,33.17,0.0
PUDDINGS/VANILLA/RTE/FAT FREE,3.0,15.12,0.36,0.0
CANDIES/MARS SNACKFOOD US/M&M'S ALMOND CHOC CANDIES,3.0,49.22,1.73,8.0
CEREALS RTE/KELLOGG/KELLOGG'S RICE KRISPIES TREATS CRL,1.0,31.0,6.2,0.0
CANDIES/SOFT FRUIT & NUT SQUARES,3.0,45.95,0.93,0.0
CEREALS/OATS/INST/FORT/W/ CINN & SPICE/PREP W/ H2O,1.0,6.31,2.11,0.0
CANDIES/HARD,3.0,62.9,0.3,0.0
CANDIES/MARS SNACKFOOD US/STARBURST FRUIT CHEWS/TROP,3.0,58.18,0.01,0.0
Formulated bar/ high fiber/ chewy/ oats and chocolate,2.0,25.0,0.9,0.0
ICE CREAMS/BREYERS/98% FAT FREE CHOC,3.0,20.29,0.84,7.0
CEREALS RTE/MALT-O-MEAL/RAISIN BRAN CRL,1.0,32.09,9.81,0.0
POTATO CHIPS/WHITE/RESTRUCTURED/BKD,2.0,5.01,0.8,0.0
CEREALS RTE/GENERAL MILLS/COCOA PUFFS/25% RED SUGAR,1.0,26.1,15.0,0.0
CANDIES/MILK CHOC/W/ALMONDS,3.0,43.9,1.63,19.0
CEREALS RTE/KELLOGG/KELLOGG'S CRACKLIN' OAT BRAN,1.0,28.0,3.7,0.0
CEREALS RTE/KELLOGG'S KRAVE DOUBLE CHOC CRL,1.0,36.3,15.0,1.0
CEREALS RTE/KASHI GOLEAN,1.0,12.0,5.0,0.0
FRUIT BUTTERS/APPLE,3.0,35.3,0.31,0.0
CEREALS/KASHI HEART TO HEART/INST OATMEAL/GLDN BRWN MPLE/DRY,1.0,27.0,4.2,0.0
SWEETENERS/TABLETOP/SUCRALOSE/SPLENDA PACKETS,3.0,80.33,0.0,0.0
GELATIN DSSRT/DRY MIX,3.0,86.04,0.13,0.0
SWEETENERS/TABLETOP/SACCHARIN (SODIUM SACCHARIN),3.0,85.19,0.04,0.0
CEREALS RTE/POST/SHREDDED WHEAT N' BRAN/SPOON-SIZE,1.0,0.8,3.9,0.0
CEREALS/QUAKER/INST GRITS/BUTTER FLAVOR/DRY,1.0,0.87,28.93,1.0
POPCORN/CAKES,2.0,0.72,1.87,0.0
SYRUPS/CHOC/FUDGE-TYPE,3.0,34.82,1.3,1.0
PUDDINGS/ALL FLAVORS XCPT CHOC/LO CAL/INST/DRY MIX,3.0,0.9,0.38,0.0
SNACKS/GRANOLA BAR/KASHI GOLEAN/CRUNCHY/MXD FLAVORS,2.0,27.3,5.2,0.0
CEREALS RTE/KELLOGG/KELLOGG'S MARSHMLLW FROOT LOOPS,1.0,49.9,15.5,0.0
CEREALS RTE/KASHI 7 WHL GRAIN NUGGETS,1.0,5.0,24.0,0.0
CEREALS RTE/CHOCOLATE-FLAVORED FRSTD PUFFED CORN,1.0,43.7,15.87,0.0
CEREALS RTE/QUAKER/CAP'N CRUNCH'S PNUT BUTTER CRUNCH,1.0,33.36,18.36,0.0
CANDIES/MILK CHOC COATD PNUTS,3.0,37.59,1.31,9.0
CANDIES/MARS SNACKFOOD US/STARBURST FRUIT CHEWS/ORIG FRUIT,3.0,58.12,0.01,0.0
SYRUP/MAPLE/CANADIAN,3.0,59.92,0.11,0.0
SNACKS/CANDY BITS/YOGURT COVERED W/ VIT C,2.0,65.0,0.19,3.0
CEREALS/QUAKER/INST OATMEAL/DINOSAUR EGGS/BROWN SUGAR/DRY,1.0,27.59,7.92,0.0
CEREALS/QUAKER/CORN GRITS/INST/CHEDDAR CHS FLAVOR/DRY,1.0,2.13,28.93,2.0
SNACKS/M&M MARS/KUDOS WHL GRAIN BARS/PNUT BUTTER,2.0,44.29,0.89,0.0
FROZEN NOVELTIES/ICE CRM TYPE/SUNDAE/PREPACKAGED,3.0,20.74,0.25,13.0
CANDIES/NESTLE/CHUNKY BAR,3.0,52.5,0.9,10.0
CANDIES/MARS SNACKFOOD US/TWIX PNUT BUTTER COOKIE BARS,3.0,36.13,1.32,6.0
CEREALS RTE/QUAKER/100% NAT GRANOLA/OATS/WHEAT & HONEY,1.0,20.34,2.81,2.0
SNACKS/VEG CHIPS/MADE FROM GARDEN VEG,2.0,4.04,1.55,0.0
GELATIN DSSRT/DRY MIX/PREP W/ H2O,3.0,13.49,0.02,0.0
PUDDINGS/CHOC/DRY MIX/INST,3.0,67.86,1.29,0.0
CANDIES/SESAME CRUNCH,3.0,31.17,4.27,0.0
